               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10176,             0.12841,            0.014677,             0.58141,             0.40224,             0.43808,             0.17762,            0.085557,             0.11796,           0.0091781,           0.0033225,           0.0033225,            0.070098
                   1,            0.088195,             0.13559,            0.009436,             0.66726,             0.43555,             0.49472,             0.20498,            0.082171,             0.11956,            0.008443,           0.0065899,           0.0065899,            0.040032
                   2,            0.084867,             0.13465,           0.0089333,             0.66849,             0.36056,             0.43563,             0.18667,            0.084207,             0.13466,            0.011312,           0.0097914,           0.0097914,           0.0098999
                   3,            0.083262,             0.13562,           0.0086591,             0.71795,             0.46004,             0.52794,             0.24181,             0.07915,             0.11811,           0.0078089,            0.009703,            0.009703,            0.009703
                   4,            0.081911,              0.1349,           0.0084507,             0.72555,             0.48589,             0.55468,              0.2554,            0.078669,             0.11907,           0.0077604,            0.009703,            0.009703,            0.009703
                   5,            0.081122,             0.13334,           0.0082358,             0.74219,             0.47748,             0.55346,             0.26626,            0.077595,              0.1166,           0.0075648,            0.009604,            0.009604,            0.009604
                   6,            0.080444,             0.13276,           0.0081447,             0.77155,             0.48484,             0.56594,             0.27369,            0.077152,             0.11636,           0.0074626,            0.009505,            0.009505,            0.009505
                   7,            0.080604,             0.13344,           0.0081656,             0.75819,             0.48189,              0.5594,             0.27305,             0.07731,             0.11682,           0.0076723,            0.009406,            0.009406,            0.009406
                   8,            0.079928,             0.13244,           0.0080668,             0.76673,             0.47848,             0.55399,             0.27162,            0.077232,             0.11684,           0.0074753,            0.009307,            0.009307,            0.009307
                   9,            0.079963,             0.13244,           0.0080276,             0.76512,             0.49858,             0.57644,             0.28395,            0.076247,              0.1153,           0.0073183,            0.009208,            0.009208,            0.009208
                  10,            0.079467,             0.13228,           0.0079576,             0.77776,             0.50516,             0.58341,              0.2895,            0.076062,             0.11513,           0.0073132,            0.009109,            0.009109,            0.009109
                  11,            0.079401,             0.13135,           0.0079316,              0.7702,             0.50258,             0.57857,             0.28611,             0.07609,             0.11555,           0.0073454,             0.00901,             0.00901,             0.00901
                  12,            0.079597,             0.13245,           0.0079548,             0.77235,             0.50362,             0.58171,              0.2903,              0.0757,             0.11462,           0.0071923,            0.008911,            0.008911,            0.008911
                  13,            0.079276,             0.13228,           0.0079046,             0.76736,             0.51309,             0.58672,             0.29115,            0.075712,             0.11461,           0.0073075,            0.008812,            0.008812,            0.008812
                  14,              0.0792,              0.1314,           0.0078872,             0.77705,             0.51351,             0.59236,             0.29601,            0.075488,             0.11442,           0.0071582,            0.008713,            0.008713,            0.008713
                  15,            0.079284,             0.13149,           0.0078852,             0.77454,             0.51296,             0.59195,             0.29823,            0.075312,             0.11411,           0.0071655,            0.008614,            0.008614,            0.008614
                  16,            0.078969,             0.13186,           0.0078745,             0.77223,              0.5146,             0.59261,             0.30021,            0.075112,              0.1141,           0.0070946,            0.008515,            0.008515,            0.008515
                  17,            0.079085,             0.13156,           0.0078157,             0.77535,             0.52304,             0.59852,             0.30215,            0.075049,             0.11392,           0.0071329,            0.008416,            0.008416,            0.008416
                  18,            0.079009,             0.13066,            0.007866,             0.78372,             0.51453,              0.5943,             0.30153,            0.074977,             0.11395,           0.0071324,            0.008317,            0.008317,            0.008317
                  19,            0.078864,             0.13141,            0.007811,             0.78427,               0.521,             0.60064,             0.30314,            0.074871,             0.11368,           0.0071277,            0.008218,            0.008218,            0.008218
                  20,            0.078765,             0.13125,           0.0077668,             0.77744,             0.51859,             0.59658,             0.30596,            0.074638,             0.11298,           0.0070205,            0.008119,            0.008119,            0.008119
                  21,            0.078614,             0.13089,           0.0078197,             0.78201,             0.52148,             0.60114,             0.30608,             0.07466,             0.11319,            0.007127,             0.00802,             0.00802,             0.00802
                  22,            0.078704,              0.1305,           0.0077632,             0.78377,             0.51966,              0.6004,             0.30825,            0.074481,             0.11296,            0.007043,            0.007921,            0.007921,            0.007921
                  23,            0.078493,             0.13053,           0.0077595,             0.79197,             0.52098,              0.6044,             0.30942,            0.074404,             0.11283,           0.0070407,            0.007822,            0.007822,            0.007822
                  24,            0.078434,             0.13065,           0.0077165,             0.78679,             0.52558,             0.60554,              0.3105,            0.074326,              0.1127,           0.0070553,            0.007723,            0.007723,            0.007723
                  25,            0.078375,             0.13053,           0.0077239,             0.79418,             0.52238,             0.60524,             0.31068,            0.074304,             0.11272,           0.0070125,            0.007624,            0.007624,            0.007624
                  26,            0.078174,             0.13038,           0.0077297,             0.79167,             0.52332,             0.60448,             0.31161,            0.074214,             0.11266,           0.0069762,            0.007525,            0.007525,            0.007525
                  27,            0.078106,             0.13035,           0.0077216,             0.79646,              0.5236,             0.60588,             0.31247,            0.074132,             0.11247,           0.0069605,            0.007426,            0.007426,            0.007426
                  28,            0.078284,             0.13067,           0.0077451,             0.78938,             0.52816,             0.60862,             0.31496,            0.074042,             0.11227,           0.0069641,            0.007327,            0.007327,            0.007327
                  29,            0.078048,             0.13067,           0.0076601,             0.79102,             0.52878,             0.60869,             0.31455,            0.074014,             0.11238,           0.0069716,            0.007228,            0.007228,            0.007228
                  30,            0.077709,              0.1294,           0.0076223,              0.8015,             0.52409,             0.61007,             0.31651,            0.073914,             0.11212,           0.0069396,            0.007129,            0.007129,            0.007129
                  31,            0.078074,             0.13056,           0.0076631,             0.80377,             0.52566,             0.61159,             0.31671,            0.073886,             0.11213,           0.0069392,             0.00703,             0.00703,             0.00703
                  32,            0.077968,             0.12972,           0.0076442,             0.78784,             0.53214,             0.61016,             0.31662,            0.073869,              0.1121,             0.00693,            0.006931,            0.006931,            0.006931
                  33,            0.078012,              0.1297,             0.00769,             0.80553,             0.52612,             0.61262,             0.31832,            0.073764,             0.11198,           0.0069173,            0.006832,            0.006832,            0.006832
                  34,            0.078088,             0.13087,           0.0076641,             0.79594,              0.5314,              0.6123,             0.31778,            0.073759,               0.112,           0.0069233,            0.006733,            0.006733,            0.006733
                  35,            0.077962,             0.12951,           0.0076323,             0.80222,             0.52879,             0.61291,             0.31911,            0.073675,             0.11189,           0.0068949,            0.006634,            0.006634,            0.006634
                  36,            0.077948,              0.1308,            0.007607,             0.78836,             0.53518,             0.61357,             0.31959,            0.073622,              0.1119,             0.00689,            0.006535,            0.006535,            0.006535
                  37,            0.077894,             0.13008,           0.0076339,             0.79702,             0.53261,             0.61423,                0.32,              0.0736,             0.11182,           0.0068903,            0.006436,            0.006436,            0.006436
                  38,            0.077795,             0.12971,           0.0076306,             0.80003,              0.5323,             0.61482,             0.32021,            0.073577,             0.11186,           0.0068916,            0.006337,            0.006337,            0.006337
                  39,            0.077514,             0.12885,            0.007549,             0.79866,             0.53301,             0.61495,             0.32119,            0.073526,             0.11172,           0.0068763,            0.006238,            0.006238,            0.006238
                  40,            0.077669,             0.13032,           0.0075939,             0.80613,             0.53004,             0.61569,             0.32178,            0.073491,             0.11166,           0.0068713,            0.006139,            0.006139,            0.006139
                  41,            0.077357,             0.12852,           0.0075409,             0.80143,             0.53267,             0.61619,             0.32187,             0.07348,             0.11167,           0.0068749,             0.00604,             0.00604,             0.00604
                  42,            0.077531,             0.12944,           0.0075649,             0.80514,             0.53177,             0.61648,               0.322,            0.073461,             0.11165,           0.0068742,            0.005941,            0.005941,            0.005941
                  43,            0.077732,             0.12908,           0.0075867,             0.80615,             0.53137,              0.6168,             0.32259,            0.073425,             0.11163,           0.0068629,            0.005842,            0.005842,            0.005842
                  44,            0.077505,             0.12947,           0.0075957,             0.80326,             0.53368,             0.61705,             0.32293,            0.073397,             0.11159,           0.0068578,            0.005743,            0.005743,            0.005743
                  45,            0.077642,             0.12928,           0.0075663,             0.80629,             0.53249,              0.6173,             0.32356,            0.073366,             0.11156,           0.0068522,            0.005644,            0.005644,            0.005644
                  46,            0.077547,             0.12951,           0.0076118,             0.80396,             0.53397,             0.61756,             0.32373,            0.073351,             0.11157,           0.0068526,            0.005545,            0.005545,            0.005545
                  47,            0.077647,             0.12874,           0.0075982,             0.80809,             0.53199,             0.61767,             0.32403,            0.073329,             0.11153,            0.006849,            0.005446,            0.005446,            0.005446
                  48,             0.07708,             0.12838,           0.0074994,              0.7966,              0.5371,             0.61777,             0.32425,             0.07331,              0.1115,           0.0068455,            0.005347,            0.005347,            0.005347
                  49,            0.077347,             0.12836,           0.0075313,             0.79867,             0.53637,             0.61821,             0.32467,             0.07329,             0.11148,           0.0068442,            0.005248,            0.005248,            0.005248
                  50,            0.077003,             0.12775,           0.0075099,             0.79949,             0.53607,             0.61818,             0.32467,            0.073275,             0.11146,           0.0068406,            0.005149,            0.005149,            0.005149
                  51,            0.077484,             0.12914,           0.0075114,              0.8039,             0.53443,             0.61858,             0.32494,            0.073256,             0.11144,            0.006839,             0.00505,             0.00505,             0.00505
                  52,            0.077096,             0.12771,           0.0074855,             0.80326,             0.53504,             0.61886,             0.32513,            0.073241,             0.11143,           0.0068369,            0.004951,            0.004951,            0.004951
                  53,            0.077258,             0.12881,           0.0075422,             0.80659,             0.53344,             0.61882,             0.32529,            0.073225,             0.11142,           0.0068361,            0.004852,            0.004852,            0.004852
                  54,            0.077055,             0.12792,           0.0074425,             0.80159,             0.53624,             0.61927,             0.32554,            0.073209,              0.1114,           0.0068328,            0.004753,            0.004753,            0.004753
                  55,             0.07718,             0.12846,           0.0075413,             0.80435,             0.53505,             0.61941,             0.32572,            0.073195,             0.11139,           0.0068321,            0.004654,            0.004654,            0.004654
                  56,            0.077258,             0.12929,           0.0074737,             0.80724,             0.53374,             0.61956,             0.32598,             0.07318,             0.11138,           0.0068298,            0.004555,            0.004555,            0.004555
